id,maHV,name,phone,dob,gender,idNumber,address,queQuan,ngayCapCCCD,noiCapCCCD,classId,licence,feePlanId,promotionId,totalFee,profileComplete,responsibleStaffId,branchId,createdAt,docs_cccd,docs_gksk,docs_donDeNghi,docs_the3x4,notes
hv-001,HV001,Selena Gomez,086 391 222,14/10/2002,Nữ,0791026278960,"5/13 Trường Sa, Q.Bình Tân, TP.HCM",Thái Bình,22/08/2019,Cục CS QLHC về TTXH,cls-2025-01-01-1,A,fee-a,promo-sgnv,1695000,false,u-1,br-1,28/12/2024 08:05:27,true,false,false,false,"Đăng ký trước, đóng đủ sau. Đúng tiến độ. Phản ứng nhanh với tình huống bất ngờ."
hv-002,HV002,Lý Tịnh,078 736 741,19/02/2005,Nam,0791053489553,"206/12 Lê Hồng Phong, Q.7, TP.HCM",Bình Dương,11/03/2021,Cục CS QLHC về TTXH,cls-2025-01-01-1,A,fee-a,promo-summer,1845000,true,u-2,br-1,15/01/2025 13:38:47,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Kỹ năng phanh trước tốt, đã làm chủ trên dốc."
hv-003,HV003,Jennie,033 487 207,25/11/1993,Nữ,0790939678657,"44/9 Bạch Đằng, Q.10, TP.HCM",Tiền Giang,15/05/2018,Cục CS QLHC về TTXH,cls-2025-01-01-1,A,fee-a,promo-none,1995000,true,u-2,br-1,16/01/2025 15:59:48,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Hay quên xi-nhan khi rẽ phải. Đã được nhắc.
hv-004,HV004,Đàm Vĩnh Hưng,032 573 298,30/07/2001,Nam,0791014450196,"264/8 Xô Viết Nghệ Tĩnh, Q.3, TP.HCM",Lâm Đồng,07/06/2020,Cục CS QLHC về TTXH,cls-2025-01-01-1,A,fee-a,promo-sgnv,1695000,true,u-1,br-1,29/12/2024 08:52:00,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Tâm lý ổn định khi đi đường thật.
hv-005,HV005,Tóc Tiên,086 254 235,20/02/2001,Nữ,0791012792952,"139/10 Lý Thường Kiệt, Q.8, TP.HCM",Thanh Hóa,26/01/2022,Cục CS QLHC về TTXH,cls-2025-01-02-1,A1,fee-a1,promo-link,365000,true,u-2,br-1,21/12/2024 17:40:03,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Bài đường gồ ghề lái chắc tay.
hv-006,HV006,J-Hope,083 707 391,24/05/1998,Nam,0790989598902,"16/7 Hai Bà Trưng, Q.Thủ Đức, TP.HCM",Nghệ An,18/09/2022,Cục CS QLHC về TTXH,cls-2025-01-02-1,A,fee-a,promo-none,1995000,true,u-1,br-1,22/12/2024 16:31:13,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Hay quên xi-nhan khi rẽ phải. Đã được nhắc.
hv-007,HV007,Khổng Minh,033 601 115,05/06/1989,Nam,0790895540344,"198/11 Lý Thường Kiệt, Q.2, TP.HCM",Long An,27/03/2024,Cục CS QLHC về TTXH,cls-2025-01-02-1,A,fee-a,promo-none,1995000,true,u-2,br-1,18/12/2024 12:59:39,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Sang số chân còn nặng. Đang cải thiện.
hv-008,HV008,Wowy,037 321 112,14/01/2001,Nam,0791017605878,"163/25 Nguyễn Trãi, Q.Tân Bình, TP.HCM",Đồng Nai,10/10/2022,Cục CS QLHC về TTXH,cls-2025-01-02-1,A,fee-a,promo-none,1995000,true,u-2,br-1,04/01/2025 09:37:25,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Cần đeo kính khi học vì hơi cận.
hv-009,HV009,Võ Tắc Thiên,083 153 553,05/05/1999,Nữ,0790996583010,"144/29 Xô Viết Nghệ Tĩnh, Q.Gò Vấp, TP.HCM",Ninh Bình,06/12/2019,Cục CS QLHC về TTXH,cls-2025-01-02-1,A,fee-a,promo-none,1995000,true,u-1,br-1,31/12/2024 16:06:54,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Bài đường gồ ghề lái chắc tay.
hv-010,HV010,Trư Bát Giới,037 554 257,18/05/1995,Nam,0790954901628,"19/12 Hai Bà Trưng, Q.8, TP.HCM",Quảng Nam,24/09/2020,Cục CS QLHC về TTXH,cls-2025-01-01-2,A1,fee-a1,promo-summer,415000,true,u-4,br-2,03/01/2025 09:43:31,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Kỹ năng phanh trước tốt, đã làm chủ trên dốc."
